16,是,106.01.05,桃園市,平鎮區,水廠路150號,石門淨水場,石門區,<1,<5,0.4,,,,,ND,0.36,,,37.3,3.28,ND,95.8,0.67,7.7
17,是,106.01.05,桃園市,平鎮區,南豐路267號(一期),平鎮淨水場,石門區,<1,<5,0.5,,,,,ND,0.36,,,37.1,2.3,ND,95.8,0.7,7.6
18,是,106.01.05,桃園市,平鎮區,南豐路267號(二期),平鎮淨水場,石門區,<1,<5,0.5,,,,,ND,0.36,,,37.7,2.18,ND,95.4,0.68,7.6
27,是,106.01.16,桃園市,平鎮區,南豐路267號,平鎮淨水場,石門區,<1,<5,0.4,,,,,,,,,,,,92.5,0.66,7.6
35,是,106.01.17,桃園市,平鎮區,大昌路20號,石門淨水場,石門區,<1,<5,0.4,,,,,,,,,,,,92.9,0.62,7.6
36,是,106.01.17,桃園市,平鎮區,水廠路150號,石門淨水場,石門區,<1,<5,0.4,,,,,,,,,,,,91.7,0.66,7.7
37,是,106.01.17,桃園市,平鎮區,延平路1段31號,石門淨水場,石門區,<1,<5,0.4,,,,,,,,,,,,91.3,0.51,7.4
4,是,106.02.07,桃園市,平鎮區,南豐路267號,平鎮淨水場,石門區,<1,<5,0.3,,,,,,,,,,,,105,0.76,7.7
12,是,106.02.08,桃園市,平鎮區,大昌路20號,石門淨水場,石門區,<1,<5,0.5,,,,,,,,,,,,101,0.65,7.7
13,是,106.02.08,桃園市,平鎮區,水廠路150號,石門淨水場,石門區,<1,<5,0.3,,,,,,,,,,,,101,0.71,7.7
14,是,106.02.08,桃園市,平鎮區,延平路一段31號,石門淨水場,石門區,<1,<5,0.5,,,,,,,,,,,,99.8,0.61,7.7
34,是,106.02.15,桃園市,平鎮區,水廠路150號,石門淨水場,石門區,<1,<5,0.3,ND,ND,ND,ND,,,ND,0.016,,,,106,0.67,7.7
35,是,106.02.15,桃園市,平鎮區,南豐路267號(平鎮一期),平鎮淨水場,石門區,<1,<5,0.4,ND,ND,ND,ND,,,ND,0.012,,,,105,0.71,7.7
36,是,106.02.15,桃園市,平鎮區,南豐路267號(平鎮二期),平鎮淨水場,石門區,<1,<5,0.5,0.004,ND,ND,ND,,,ND,0.016,,,,105,0.68,7.7
13,是,106.03.06,桃園市,平鎮區,南豐路267號,平鎮淨水場,石門區,<1,<5,0.5,,,,,,,,,,,,108,0.68,7.6
19,是,106.03.07,桃園市,平鎮區,水廠路150號,石門淨水場,石門區,<1,<5,0.2,,,,,ND,0.46,,,42.4,5.65,ND,103,0.78,7.7
20,是,106.03.07,桃園市,平鎮區,南豐路267號,平鎮淨水場,石門區,<1,<5,0.4,,,,,ND,0.34,,,42.7,6.04,ND,108,0.63,7.5
21,是,106.03.07,桃園市,平鎮區,南豐路267號,平鎮淨水場,石門區,<1,<5,0.5,,,,,ND,0.34,,,42.8,5.38,ND,108,0.61,7.5
30,是,106.03.08,桃園市,平鎮區,大昌路20號,石門淨水場,石門區,<1,<5,0.3,,,,,,,,,,,,105,0.62,7.6
31,是,106.03.08,桃園市,平鎮區,水廠路150號,石門淨水場,石門區,<1,<5,0.2,,,,,,,,,,,,102,0.71,7.7
32,是,106.03.08,桃園市,平鎮區,延平路一段31號,石門淨水場,石門區,<1,<5,0.5,,,,,,,,,,,,105,0.65,7.7
